Effect (ID),Description,Base_Cost,Base_Mag,Base_Dur,Hostile,Detrimental,No Magnitude,No Duration,Power Affects,Keywords,Power Affects Magnitude,Power Affects Duration,Beneficial,Poisonous
Cure Disease,Cures all diseases.,0.5,5,0,N,N,N,Y,Magnitude,MagicAlchBeneficial,Y,Y,Y,N
Damage Health,Causes <mag> points of poison damage.,3,2,1,Y,Y,N,N,Magnitude,MagicAlchHarmful,Y,N,N,Y
Damage Magicka,Drains the target's Magicka by <mag> points.,2.2,3,0,Y,Y,N,N,Magnitude,MagicAlchHarmful,Y,N,N,Y
Damage Magicka Regen,Decrease the target's Magicka regeneration by <mag>% for <dur> seconds.,0.5,100,5,Y,Y,N,N,Duration,MagicAlchHarmful,N,Y,N,Y
Damage Stamina,Drain the target's Stamina by <mag> points.,1.8,3,0,Y,Y,N,N,Magnitude,MagicAlchHarmful,Y,N,N,Y
Damage Stamina Regen,Decrease the target's Stamina regeneration by <mag>% for <dur> seconds.,0.3,100,5,Y,Y,N,N,Duration,MagicAlchHarmful,N,Y,N,Y
Fear,Creatures and people up to level <mag> flee from combat for <dur> seconds.,5,1,30,Y,Y,N,N,Magnitude,MagicInfluence,Y,N,N,Y
Fortify Alchemy,Potions you mix are <mag>% stronger for <dur> seconds.,0.75,,,N,N,N,N,Magnitude,MagicAlchBeneficial;MagicAlchFortifyAlchemy,,,,
Fortify Alteration,Alteration spells last <mag>% longer for <dur> seconds.,0.2,4,60,,,,,,,Y,N,Y,N
Fortify Barter,You haggle for <mag>% better prices for <dur> seconds.,2,1,30,,,,,,,Y,N,Y,N
Fortify Block,Blocking absorbs <mag>% more damage for <dur> seconds.,0.5,4,60,,,,,,,Y,N,Y,N
Fortify Carry Weight,Carrying capacity increases by <mag> for <dur> seconds.,0.15,4,300,,,,,,,Y,N,Y,N
Fortify Conjuration,Conjuration spells last <mag>% longer for <dur> seconds.,0.25,5,60,,,,,,,Y,N,Y,N
Fortify Destruction,Destruction spells are <mag>% stronger for <dur> seconds.,0.5,5,60,,,,,,,Y,N,Y,N
