Effect (ID),Description,Base_Cost,Hostile,Detrimental,No Magnitude,No Duration,Power Affects,Keywords,Power Affects Magnitude,Power Affects Duration,Beneficial,Poisonous,Base_Mag,Base_Dur
Cure Disease,Cures all diseases.,0.5,N,N,N,Y,Magnitude,MagicAlchBeneficial,Y,Y,Y,N,5,0
Damage Health,Causes <mag> points of poison damage.,3,Y,Y,N,N,Magnitude,MagicAlchHarmful,Y,N,N,Y,2,1
Damage Magicka,Drains the target's Magicka by <mag> points.,2.2,Y,Y,N,N,Magnitude,MagicAlchHarmful,Y,N,N,Y,3,0
Damage Magicka Regen,Decrease the target's Magicka regeneration by <mag>% for <dur> seconds.,0.5,Y,Y,N,N,Duration,MagicAlchHarmful,N,Y,N,Y,100,5
Damage Stamina,Drain the target's Stamina by <mag> points.,1.8,Y,Y,N,N,Magnitude,MagicAlchHarmful,Y,N,N,Y,3,0
Damage Stamina Regen,Decrease the target's Stamina regeneration by <mag>% for <dur> seconds.,0.3,Y,Y,N,N,Duration,MagicAlchHarmful,N,Y,N,Y,100,5
Fear,Creatures and people up to level <mag> flee from combat for <dur> seconds.,5,Y,Y,N,N,Magnitude,MagicInfluence,Y,N,N,Y,1,30
Fortify Alchemy,Potions you mix are <mag>% stronger for <dur> seconds.,0.75,N,N,N,N,Magnitude,MagicAlchBeneficial;MagicAlchFortifyAlchemy,,,,,,
Fortify Alteration,Alteration spells last <mag>% longer for <dur> seconds.,0.2,N,N,N,N,Magnitude,MagicAlchBeneficial;MagicAlchFortifyAlteration,Y,N,Y,N,4,60
Fortify Barter,You haggle for <mag>% better prices for <dur> seconds.,2,N,N,N,N,Magnitude,MagicAlchBeneficial;MagicAlchFortifySpeechcraft,Y,N,Y,N,1,30
Fortify Block,Blocking absorbs <mag>% more damage for <dur> seconds.,0.5,N,N,N,N,Magnitude,MagicAlchBeneficial;MagichAlchFortifyBlock,Y,N,Y,N,4,60
